Asset_ID,Cust_ID,Asset_Name,Asset_Category,Asset_Purchasedate,Asset_Solddate,Asset_Purchaseprice,Asset_Soldprice,
BO-0362,20-9622938,Government,Bond,12/11/2022,,"$1,338.19",,7
BO-0180,46-1909660,Corporate,Bond,6/03/2020,,"$97,662.28",,7
BO-0285,03-9015489,Security,Bond,20/05/2021,20/05/2021,"$35,807.82","$192,264.87",7
BO-0969,51-4752199,Government,Bond,16/09/2020,,"$53,568.63",,7
BO-0349,67-3579449,Corporate,Bond,1/03/2019,11/05/2021,"$51,118.13","$109,361.87",7
BO-0438,25-3482969,Government,Bond,9/08/2021,9/08/2021,"$86,499.38","$162,683.85",7
BO-0309,08-9453111,Government,Bond,21/01/2021,21/01/2021,"$31,392.89","$31,392.89",7
BO-0629,03-8934742,Municipal,Bond,5/03/2019,,"$42,142.78",,7
BO-0980,88-6704606,Security,Bond,20/07/2022,,"$81,153.39",,7
BO-0603,78-0455772,Municipal,Bond,28/03/2020,9/04/2021,"$55,702.42","$176,112.18",7
BO-0990,07-6473150,Corporate,Bond,29/01/2022,,"$92,093.40",,7
BO-0801,66-7086770,Government,Bond,20/06/2020,,"$82,661.91",,7
BO-0487,73-6943915,Savings,Bond,4/08/2020,4/08/2020,"$31,421.22","$31,421.22",7
BO-0732,87-7520026,Inflation-Indexed,Bond,3/11/2022,,"$37,528.99",,7
BO-0318,90-8550573,Corporate,Bond,29/01/2021,29/01/2021,"$4,734.43","$184,465.95",7
BO-0623,70-8593932,Inflation-Indexed,Bond,23/08/2021,5/05/2022,"$23,237.00","$23,237.00",7
BO-0609,07-6912416,Government,Bond,9/05/2019,9/05/2019,"$2,880.13","$2,880.13",7
BO-0675,86-4023039,Corporate,Bond,6/11/2020,,"$76,614.15",,7
BO-0473,07-4897886,Savings,Bond,2/08/2019,,"$27,121.29",,7
BO-0828,68-8610306,Municipal,Bond,5/10/2021,,"$64,397.59",,7
BO-0829,02-4755590,Savings,Bond,24/06/2019,,"$86,426.40",,7
BO-0645,54-7040582,Inflation-Indexed,Bond,5/02/2021,,"$82,186.01",,7
BO-0903,14-6296860,Security,Bond,2/01/2020,4/04/2022,"$7,255.10","$133,107.64",7
BO-0881,03-8374409,Inflation-Indexed,Bond,23/10/2019,,"$52,694.27",,7
BO-0794,81-3520119,Savings,Bond,14/12/2018,,"$70,611.46",,7
BO-0762,34-4599616,Inflation-Indexed,Bond,17/01/2023,17/01/2023,"$46,588.70","$119,971.08",7
BO-0693,48-1787598,Savings,Bond,1/12/2022,1/12/2022,"$51,917.49","$51,917.49",7
BO-0783,61-2958305,Municipal,Bond,30/07/2019,30/07/2019,"$45,790.84","$123,354.99",7
BO-0314,69-7459812,Government,Bond,6/12/2019,31/05/2022,"$66,087.13","$40,486.73",7
BO-0469,66-2178309,Municipal,Bond,24/01/2021,,"$45,997.38",,7
BO-0650,10-6591719,Municipal,Bond,6/08/2021,6/08/2021,"$8,477.91","$166,396.99",7
BO-0408,62-5049026,Corporate,Bond,17/09/2021,17/09/2021,"$21,612.29","$118,333.49",7
BO-0984,60-9772573,Savings,Bond,17/07/2021,,"$80,549.07",,7
BO-0775,18-3585901,Inflation-Indexed,Bond,16/02/2021,,"$63,445.72",,7
BO-0101,68-0516116,Savings,Bond,7/04/2021,,"$88,694.95",,7
BO-0345,46-4530566,Municipal,Bond,24/12/2021,24/12/2021,"$72,458.32","$168,362.34",7
BO-0855,56-5057834,Corporate,Bond,27/10/2019,27/10/2019,"$76,247.30","$163,736.01",7
BO-0207,13-2244517,Government,Bond,24/05/2020,,"$16,591.62",,7
BO-0678,20-4103995,Security,Bond,1/04/2020,4/01/2023,"$83,672.93","$181,400.15",7
